emp_id,bank_name,bank_account_num,ifsc_code
EMP00197,Kotak Mahindra Bank,93887489306,KOTA0253316
EMP00198,Canara Bank,895335441605,CANA0566539
EMP00199,State Bank of India,387353024500,STAT0834818
EMP00200,State Bank of India,88723935116,STAT0263706
EMP00201,Kotak Mahindra Bank,91067309728,KOTA0170657
EMP00202,Punjab National Bank,762788309162,PUNJ0710403
EMP00203,HDFC Bank,428694588978,HDFC0824032
EMP00204,Canara Bank,831420033271,CANA0103960
EMP00205,State Bank of India,150608087583,STAT0451008
EMP00206,HDFC Bank,513308475096,HDFC0811013
EMP00207,Canara Bank,227827419599,CANA0111167
EMP00208,Canara Bank,885203543821,CANA0250772
EMP00209,Canara Bank,810730674222,CANA0868293
EMP00210,Axis Bank,935996915154,AXIS0112309
EMP00211,ICICI Bank,407863233160,ICIC0707858
EMP00212,ICICI Bank,853334684825,ICIC0218102
EMP00213,Axis Bank,840455536625,AXIS0600865
EMP00214,State Bank of India,698170868080,STAT0628037
EMP00215,Canara Bank,888341294570,CANA0839969
EMP00216,HDFC Bank,900684257303,HDFC0718640
EMP00217,State Bank of India,516215578726,STAT0866280
EMP00218,ICICI Bank,568805605103,ICIC0267683
EMP00219,ICICI Bank,219725967117,ICIC0355483
EMP00220,Punjab National Bank,685033163151,PUNJ0731312
EMP00221,Kotak Mahindra Bank,581005807452,KOTA0563348
EMP00222,Punjab National Bank,40184076002,PUNJ0223694
EMP00223,ICICI Bank,665982205311,ICIC0494005
EMP00224,HDFC Bank,16878261560,HDFC0221840
EMP00225,HDFC Bank,913848274969,HDFC0760496
EMP00226,Kotak Mahindra Bank,108428294219,KOTA0549660
EMP00227,Canara Bank,476000006258,CANA0163886
EMP00228,Kotak Mahindra Bank,847173063157,KOTA0316415
EMP00229,HDFC Bank,39955426914,HDFC0341309
EMP00230,Punjab National Bank,625791605470,PUNJ0759889
EMP00231,Punjab National Bank,586445529745,PUNJ0785749
EMP00232,Canara Bank,114338815929,CANA0313714
EMP00233,Axis Bank,34833309480,AXIS0631613
EMP00234,Kotak Mahindra Bank,621931096087,KOTA0892246
EMP00235,Axis Bank,548040857171,AXIS0353382
EMP00236,State Bank of India,304708752811,STAT0187785
EMP00237,ICICI Bank,264976667236,ICIC0609694
EMP00238,ICICI Bank,122480739086,ICIC0454065
EMP00239,HDFC Bank,910202389374,HDFC0216453
EMP00240,State Bank of India,712050551592,STAT0826955
EMP00241,Kotak Mahindra Bank,864838972302,KOTA0905376
EMP00242,HDFC Bank,171698246663,HDFC0772481
EMP00243,HDFC Bank,117109044941,HDFC0613859
EMP00244,Axis Bank,720253212206,AXIS0469781
EMP00245,Canara Bank,352538178046,CANA0588892
EMP00246,State Bank of India,938735770515,STAT0715726
EMP00247,State Bank of India,213945052504,STAT0736922
EMP00248,HDFC Bank,157467681958,HDFC0789703
EMP00249,ICICI Bank,910198679388,ICIC0709044
EMP00250,Kotak Mahindra Bank,266432357390,KOTA0899844
EMP00251,Axis Bank,422684440752,AXIS0287487
EMP00252,State Bank of India,998302883618,STAT0992988
EMP00253,Canara Bank,228110038139,CANA0576920
EMP00254,State Bank of India,302349614151,STAT0554378
EMP00255,Axis Bank,103540470931,AXIS0731667
EMP00256,State Bank of India,466458466226,STAT0144563
EMP00257,HDFC Bank,955160337791,HDFC0758084
EMP00258,Punjab National Bank,471859073748,PUNJ0353950
EMP00259,HDFC Bank,13268841788,HDFC0891311
EMP00260,State Bank of India,237305524798,STAT0385318
EMP00261,Canara Bank,995674534351,CANA0621797
EMP00262,State Bank of India,764250065012,STAT0408607
EMP00263,HDFC Bank,274703351402,HDFC0308637
EMP00264,HDFC Bank,303227277934,HDFC0154919
EMP00265,Kotak Mahindra Bank,475699059313,KOTA0270076
EMP00266,HDFC Bank,262357943865,HDFC0613510
EMP00267,ICICI Bank,193493667787,ICIC0112039
EMP00268,State Bank of India,432765326272,STAT0310488
EMP00269,HDFC Bank,857717033485,HDFC0179793
EMP00270,Canara Bank,292729755924,CANA0578307
EMP00271,Canara Bank,444646760487,CANA0781896
EMP00272,Canara Bank,466413572612,CANA0304293
EMP00273,State Bank of India,247126511144,STAT0682926
EMP00274,HDFC Bank,573401865296,HDFC0417589
EMP00275,HDFC Bank,143161527611,HDFC0205966
EMP00276,ICICI Bank,481667967514,ICIC0289359
EMP00277,Axis Bank,211341140159,AXIS0396194
EMP00278,HDFC Bank,677183254824,HDFC0477617
EMP00279,HDFC Bank,134131902736,HDFC0351399
EMP00280,ICICI Bank,139440551562,ICIC0196101
EMP00281,State Bank of India,844408690980,STAT0333678
EMP00282,State Bank of India,67884147273,STAT0555147
EMP00283,ICICI Bank,996941105876,ICIC0899869
EMP00284,Kotak Mahindra Bank,753857419007,KOTA0335632
EMP00285,Canara Bank,922676030042,CANA0492942
EMP00286,Canara Bank,632284853277,CANA0740793
EMP00287,State Bank of India,12693879254,STAT0488839
EMP00288,Punjab National Bank,704023189381,PUNJ0175120
EMP00289,Canara Bank,684343021571,CANA0204079
EMP00290,Kotak Mahindra Bank,137722935521,KOTA0718156
EMP00291,ICICI Bank,294340751038,ICIC0956060
EMP00292,Kotak Mahindra Bank,120551984188,KOTA0483970
EMP00293,HDFC Bank,511114289343,HDFC0704760
EMP00294,Canara Bank,13287181301,CANA0129916
EMP00295,State Bank of India,962576343549,STAT0753928
EMP00296,ICICI Bank,794206792898,ICIC0670010
EMP00297,HDFC Bank,22592850994,HDFC0288525
EMP00298,Canara Bank,730637378479,CANA0219285
EMP00299,Punjab National Bank,928265892223,PUNJ0528403
EMP00300,HDFC Bank,688524645094,HDFC0795125
EMP00301,Punjab National Bank,370571479342,PUNJ0839253
EMP00302,Axis Bank,647845990474,AXIS0417422
EMP00303,HDFC Bank,802402530139,HDFC0736631
EMP00304,Kotak Mahindra Bank,151195704164,KOTA0856296
EMP00305,Axis Bank,353627276909,AXIS0208111
EMP00306,HDFC Bank,505709040702,HDFC0432963
EMP00307,ICICI Bank,445673465921,ICIC0751710
EMP00308,State Bank of India,473831923115,STAT0352750
EMP00309,Axis Bank,401062575037,AXIS0269922
EMP00310,ICICI Bank,964821678395,ICIC0558336
EMP00311,Axis Bank,68000625274,AXIS0347771
EMP00312,Canara Bank,278175649364,CANA0441564
EMP00313,Punjab National Bank,905198576835,PUNJ0628647
EMP00314,Axis Bank,917837290901,AXIS0289648
EMP00315,Punjab National Bank,450875550645,PUNJ0193151
EMP00316,Axis Bank,472342308668,AXIS0746602
EMP00317,Punjab National Bank,596390096558,PUNJ0506033
EMP00318,State Bank of India,398922320907,STAT0561893
EMP00319,Punjab National Bank,653545278045,PUNJ0668147
EMP00320,State Bank of India,516583243200,STAT0975754
EMP00321,HDFC Bank,827957417709,HDFC0352637
EMP00322,Axis Bank,759006170678,AXIS0993419
EMP00323,State Bank of India,384920767079,STAT0133224
EMP00324,HDFC Bank,341176534156,HDFC0926891
EMP00325,State Bank of India,89653230295,STAT0429831
EMP00326,Canara Bank,155473530875,CANA0906698
EMP00327,State Bank of India,192136173150,STAT0519703
EMP00328,Axis Bank,166206449135,AXIS0150958
EMP00329,Kotak Mahindra Bank,133498856351,KOTA0752004
EMP00330,HDFC Bank,420814593004,HDFC0955788
EMP00331,State Bank of India,778161810429,STAT0546590
EMP00332,ICICI Bank,313935593772,ICIC0858474
EMP00333,Kotak Mahindra Bank,521447942732,KOTA0940098
EMP00334,Punjab National Bank,651493708293,PUNJ0644414
EMP00335,Punjab National Bank,69963928479,PUNJ0917946
EMP00336,Axis Bank,468634109706,AXIS0284508
EMP00337,State Bank of India,931531525415,STAT0285275
EMP00338,State Bank of India,702009607050,STAT0870952
EMP00339,ICICI Bank,802730823944,ICIC0578479
EMP00340,Axis Bank,318757181815,AXIS0393760
EMP00341,Punjab National Bank,820607756716,PUNJ0169471
EMP00342,State Bank of India,635852583635,STAT0351760
EMP00343,HDFC Bank,554024720068,HDFC0586162
EMP00344,Kotak Mahindra Bank,327073402564,KOTA0455751
EMP00345,Axis Bank,670168756835,AXIS0684104
EMP00346,HDFC Bank,110000291871,HDFC0608858
EMP00347,State Bank of India,691953919014,STAT0695130
EMP00348,ICICI Bank,303941536561,ICIC0609948
EMP00349,Canara Bank,936036463058,CANA0516867
EMP00350,Axis Bank,338398605879,AXIS0836534
EMP00351,Canara Bank,831882800873,CANA0272742
EMP00352,Kotak Mahindra Bank,50079406807,KOTA0462586
EMP00353,Canara Bank,351294885686,CANA0928703
EMP00354,ICICI Bank,26766555953,ICIC0346188
EMP00355,Axis Bank,378411696919,AXIS0840969
EMP00356,HDFC Bank,468275101044,HDFC0407074
EMP00357,ICICI Bank,687014124500,ICIC0276318
EMP00358,Punjab National Bank,853104135059,PUNJ0422571
EMP00359,HDFC Bank,320369373160,HDFC0735623
EMP00360,ICICI Bank,931529889709,ICIC0887424
EMP00361,Kotak Mahindra Bank,142586656169,KOTA0241199
EMP00362,Canara Bank,269317341913,CANA0622889
EMP00363,HDFC Bank,197203400397,HDFC0497150
EMP00364,HDFC Bank,727266424839,HDFC0208695
EMP00365,Canara Bank,214869420119,CANA0821867
EMP00366,Kotak Mahindra Bank,580082372911,KOTA0466243
EMP00367,HDFC Bank,740307127012,HDFC0724476
EMP00368,Axis Bank,979559437816,AXIS0177727
EMP00369,Axis Bank,409375948683,AXIS0730428
EMP00370,Axis Bank,107998929718,AXIS0760560
EMP00371,Punjab National Bank,842250406158,PUNJ0780137
EMP00372,Axis Bank,287573097875,AXIS0783865
EMP00373,Canara Bank,998027002305,CANA0640516
EMP00374,State Bank of India,253305205828,STAT0287852
EMP00375,Kotak Mahindra Bank,495270784592,KOTA0248730
EMP00376,ICICI Bank,591447324219,ICIC0319812
EMP00377,ICICI Bank,58560689440,ICIC0526896
EMP00378,Axis Bank,585697613216,AXIS0326519
EMP00379,Axis Bank,781163940733,AXIS0168157
EMP00380,Kotak Mahindra Bank,522247666851,KOTA0472618
EMP00381,Kotak Mahindra Bank,526928494217,KOTA0726548
EMP00382,State Bank of India,88376843044,STAT0310074
EMP00383,Punjab National Bank,849312105884,PUNJ0120071
EMP00384,Axis Bank,196813391671,AXIS0549234
EMP00385,Axis Bank,999865261213,AXIS0979016
EMP00386,State Bank of India,472273049696,STAT0371085
EMP00387,ICICI Bank,939938258290,ICIC0549383
EMP00388,Axis Bank,402653559038,AXIS0592333
EMP00389,Punjab National Bank,712232594754,PUNJ0339877
EMP00390,Punjab National Bank,502179214834,PUNJ0915758
EMP00391,Kotak Mahindra Bank,272398172873,KOTA0653360
EMP00392,Axis Bank,778452126437,AXIS0486314
EMP00393,Canara Bank,257097359965,CANA0604985
EMP00394,ICICI Bank,61128302633,ICIC0350542
EMP00395,Axis Bank,793007196239,AXIS0799596
EMP00396,Canara Bank,797590306297,CANA0723632
EMP00397,Axis Bank,61591489246,AXIS0866833
EMP00398,Punjab National Bank,466502849378,PUNJ0282148
EMP00399,ICICI Bank,671688413942,ICIC0544427
EMP00400,Kotak Mahindra Bank,739394605606,KOTA0670299
EMP00401,Canara Bank,655039239371,CANA0744686
EMP00402,Punjab National Bank,326937691484,PUNJ0462790
EMP00403,ICICI Bank,776778203540,ICIC0621610
EMP00404,Canara Bank,795329095929,CANA0887549
EMP00405,HDFC Bank,513035806653,HDFC0595616
EMP00406,Canara Bank,785081971564,CANA0396434
EMP00407,HDFC Bank,636828625897,HDFC0858715
EMP00408,Kotak Mahindra Bank,288217924232,KOTA0579654
EMP00409,Kotak Mahindra Bank,645710626165,KOTA0260082
EMP00410,Canara Bank,667047672810,CANA0146396
EMP00411,Kotak Mahindra Bank,778317902552,KOTA0889116
EMP00412,State Bank of India,342319609291,STAT0265545
EMP00413,State Bank of India,337549999886,STAT0211307
EMP00414,State Bank of India,630019159467,STAT0294838
EMP00415,Punjab National Bank,493853043752,PUNJ0683195
EMP00416,Canara Bank,390331741318,CANA0957532
EMP00417,Axis Bank,518195045022,AXIS0686889
EMP00418,Kotak Mahindra Bank,209569201044,KOTA0829126
EMP00419,HDFC Bank,376696029354,HDFC0917951
EMP00420,Kotak Mahindra Bank,793000613633,KOTA0226856
EMP00421,Kotak Mahindra Bank,62713921997,KOTA0798897
EMP00422,Kotak Mahindra Bank,743084206095,KOTA0962650
EMP00423,Kotak Mahindra Bank,896575408438,KOTA0891414
EMP00424,State Bank of India,724669039396,STAT0284340
EMP00425,State Bank of India,164376224216,STAT0149256
EMP00426,Canara Bank,192023901732,CANA0909562
EMP00427,Axis Bank,910426467976,AXIS0339078
EMP00428,Axis Bank,283727753071,AXIS0868929
EMP00429,ICICI Bank,340121450554,ICIC0688380
EMP00430,Punjab National Bank,780061095314,PUNJ0624217
EMP00431,HDFC Bank,808949203888,HDFC0699380
EMP00432,Punjab National Bank,871043680803,PUNJ0733998
EMP00433,Kotak Mahindra Bank,515450514714,KOTA0395150
EMP00434,Kotak Mahindra Bank,296253431442,KOTA0868124
EMP00435,State Bank of India,499669682889,STAT0257070
EMP00436,Kotak Mahindra Bank,174997426593,KOTA0882604
EMP00437,ICICI Bank,265197828580,ICIC0112205
EMP00438,State Bank of India,326764918708,STAT0389782
EMP00439,Axis Bank,111298463702,AXIS0164421
EMP00440,Kotak Mahindra Bank,112485918657,KOTA0829707
EMP00441,Canara Bank,376623743565,CANA0457365
EMP00442,HDFC Bank,700802351593,HDFC0486119
EMP00443,Kotak Mahindra Bank,232072860723,KOTA0340391
EMP00444,ICICI Bank,380546374065,ICIC0820727
EMP00445,Punjab National Bank,153137879016,PUNJ0635264
EMP00446,State Bank of India,693364118941,STAT0799149
EMP00447,ICICI Bank,874997626477,ICIC0178164
EMP00448,Punjab National Bank,985859456603,PUNJ0952662
EMP00449,Axis Bank,968026243062,AXIS0726101
EMP00450,Canara Bank,766164657337,CANA0633106
EMP00451,HDFC Bank,626475069122,HDFC0372622
EMP00452,State Bank of India,866200414156,STAT0741024
EMP00453,Canara Bank,500820239999,CANA0506036
EMP00454,Axis Bank,834971455447,AXIS0580532
EMP00455,Kotak Mahindra Bank,787784882667,KOTA0652639
EMP00456,Kotak Mahindra Bank,584782279216,KOTA0484777
EMP00457,State Bank of India,505866588596,STAT0125091
EMP00458,Punjab National Bank,467459343647,PUNJ0902131
EMP00459,State Bank of India,604446864627,STAT0929712
EMP00460,State Bank of India,904136962449,STAT0472310
EMP00461,Canara Bank,819136169539,CANA0536291
EMP00462,Canara Bank,10594589317,CANA0286292
EMP00463,Kotak Mahindra Bank,678539868026,KOTA0365305
EMP00464,State Bank of India,789761596280,STAT0740607
EMP00465,Kotak Mahindra Bank,796979318843,KOTA0954830
EMP00466,Canara Bank,992744207524,CANA0965409
EMP00467,State Bank of India,695946975266,STAT0573862
EMP00468,ICICI Bank,533916125387,ICIC0709890
EMP00469,State Bank of India,599244743358,STAT0909420
EMP00470,Axis Bank,602389196456,AXIS0313574
EMP00471,Punjab National Bank,325599393064,PUNJ0769508
EMP00472,Kotak Mahindra Bank,704199921725,KOTA0208601
EMP00473,Kotak Mahindra Bank,513730041440,KOTA0463468
EMP00474,State Bank of India,729669590785,STAT0402830
EMP00475,ICICI Bank,510742691235,ICIC0167469
EMP00476,HDFC Bank,219892014165,HDFC0795564
EMP00477,Axis Bank,300579310822,AXIS0351605
EMP00478,State Bank of India,958475477159,STAT0938820
EMP00479,State Bank of India,957192249194,STAT0746452
EMP00480,HDFC Bank,80360921643,HDFC0193376
EMP00481,Canara Bank,19841260764,CANA0143968
EMP00482,Kotak Mahindra Bank,291063314398,KOTA0303569
EMP00483,State Bank of India,266493272314,STAT0571800
EMP00484,Punjab National Bank,250003882853,PUNJ0667740
EMP00485,Kotak Mahindra Bank,171900913922,KOTA0247257
EMP00486,Kotak Mahindra Bank,201972470748,KOTA0892620
EMP00487,Kotak Mahindra Bank,744788089284,KOTA0453736
EMP00488,ICICI Bank,497480108917,ICIC0141968
EMP00489,HDFC Bank,612909927049,HDFC0931734
EMP00490,HDFC Bank,134415649575,HDFC0733197
EMP00491,Kotak Mahindra Bank,182771181872,KOTA0642338
EMP00492,State Bank of India,84496299218,STAT0410328
EMP00493,Axis Bank,804149482658,AXIS0166796
EMP00494,Axis Bank,463617560210,AXIS0469865
EMP00495,Axis Bank,183498792362,AXIS0822024
EMP00496,HDFC Bank,379854318352,HDFC0941962
EMP00497,Axis Bank,585588857111,AXIS0106029
EMP00498,Canara Bank,620432792585,CANA0853172
EMP00499,HDFC Bank,192324282380,HDFC0162290
EMP00500,Punjab National Bank,637590993956,PUNJ0358237
EMP00501,Canara Bank,117473109325,CANA0342550
EMP00502,HDFC Bank,94220271952,HDFC0355703
EMP00503,Punjab National Bank,468479446182,PUNJ0207797
EMP00504,ICICI Bank,738000831104,ICIC0914563
EMP00505,ICICI Bank,348912209523,ICIC0734595
EMP00506,State Bank of India,957010050049,STAT0645432
EMP00507,Kotak Mahindra Bank,292382455874,KOTA0711979
EMP00508,Kotak Mahindra Bank,255400698224,KOTA0201667
EMP00509,ICICI Bank,418614186523,ICIC0729974
EMP00510,Axis Bank,528518058292,AXIS0624244
